Schedule,ChunkSize,Threads,ElapsedTime,ThreadID,Iterations
dynamic,2,2,0.0207583,0,7163789
dynamic,2,2,0.0207583,1,6954650
dynamic,2,4,0.0136919,0,3987571
dynamic,2,4,0.0136919,1,4131883
dynamic,2,4,0.0136919,2,2028742
dynamic,2,4,0.0136919,3,3970243
dynamic,2,8,0.00724344,0,2136556
dynamic,2,8,0.00724344,1,2193913
dynamic,2,8,0.00724344,2,1122826
dynamic,2,8,0.00724344,3,2191049
dynamic,2,8,0.00724344,4,1112971
dynamic,2,8,0.00724344,5,2162740
dynamic,2,8,0.00724344,6,2108030
dynamic,2,8,0.00724344,7,1090354
dynamic,4,1,0.0339869,0,14118439
dynamic,4,2,0.0204172,0,7148218
dynamic,4,2,0.0204172,1,6970221
dynamic,4,4,0.0131259,0,3982368
dynamic,4,4,0.0131259,1,4060042
dynamic,4,4,0.0131259,2,2019680
dynamic,4,4,0.0131259,3,4056349
dynamic,4,8,0.0148545,0,2178425
dynamic,4,8,0.0148545,1,2214789
dynamic,4,8,0.0148545,2,1136859
dynamic,4,8,0.0148545,3,2164697
dynamic,4,8,0.0148545,4,1102305
dynamic,4,8,0.0148545,5,2206349
dynamic,4,8,0.0148545,6,2205752
dynamic,4,8,0.0148545,7,909263
dynamic,16,1,0.034049,0,14118439
dynamic,16,2,0.0262654,0,9659021
dynamic,16,2,0.0262654,1,4459418
dynamic,16,4,0.0123067,0,3812037
dynamic,16,4,0.0123067,1,3099166
dynamic,16,4,0.0123067,2,3780529
dynamic,16,4,0.0123067,3,3426707
dynamic,16,8,0.00680085,0,1851939
dynamic,16,8,0.00680085,1,2032079
dynamic,16,8,0.00680085,2,1921491
dynamic,16,8,0.00680085,3,1891517
dynamic,16,8,0.00680085,4,1160445
dynamic,16,8,0.00680085,5,1852324
dynamic,16,8,0.00680085,6,1586762
dynamic,16,8,0.00680085,7,1821882
dynamic,32,1,0.0340933,0,14118439
dynamic,32,2,0.0199535,0,7088377
dynamic,32,2,0.0199535,1,7030062
dynamic,32,4,0.0114604,0,3601152
dynamic,32,4,0.0114604,1,3576659
dynamic,32,4,0.0114604,2,3288907
dynamic,32,4,0.0114604,3,3651721
dynamic,32,8,0.0112144,0,2331889
dynamic,32,8,0.0112144,1,2325032
dynamic,32,8,0.0112144,2,792990
dynamic,32,8,0.0112144,3,1221008
dynamic,32,8,0.0112144,4,2041878
dynamic,32,8,0.0112144,5,2012065
dynamic,32,8,0.0112144,6,2134298
dynamic,32,8,0.0112144,7,1259279
dynamic,400,1,0.0340826,0,14118439
dynamic,400,2,0.019297,0,7014056
dynamic,400,2,0.019297,1,7104383
dynamic,400,4,0.0191244,0,7014056
dynamic,400,4,0.0191244,1,7104383
dynamic,400,4,0.0191244,2,0
dynamic,400,4,0.0191244,3,0
dynamic,400,8,0.0240026,0,0
dynamic,400,8,0.0240026,1,0
dynamic,400,8,0.0240026,2,0
dynamic,400,8,0.0240026,3,0
dynamic,400,8,0.0240026,4,7104383
dynamic,400,8,0.0240026,5,7014056
dynamic,400,8,0.0240026,6,0
dynamic,400,8,0.0240026,7,0
dynamic,800,1,0.0343361,0,14118439
dynamic,800,2,0.0340043,0,14118439
dynamic,800,2,0.0340043,1,0
dynamic,800,4,0.0412344,0,0
dynamic,800,4,0.0412344,1,0
dynamic,800,4,0.0412344,2,14118439
dynamic,800,4,0.0412344,3,0
dynamic,800,8,0.0540697,0,0
dynamic,800,8,0.0540697,1,0
dynamic,800,8,0.0540697,2,0
dynamic,800,8,0.0540697,3,0
dynamic,800,8,0.0540697,4,14118439
dynamic,800,8,0.0540697,5,0
dynamic,800,8,0.0540697,6,0
dynamic,800,8,0.0540697,7,0
guided,0,1,0.0341181,0,14118439
guided,0,2,0.0205413,0,7300105
guided,0,2,0.0205413,1,6818334
guided,0,4,0.0183975,0,873458
guided,0,4,0.0183975,1,7071403
guided,0,4,0.0183975,2,3529064
guided,0,4,0.0183975,3,2644514
guided,0,8,0.0112859,0,3437473
guided,0,8,0.0112859,1,539655
guided,0,8,0.0112859,2,2132980
guided,0,8,0.0112859,3,558364
guided,0,8,0.0112859,4,1314560
guided,0,8,0.0112859,5,445047
guided,0,8,0.0112859,6,2239215
guided,0,8,0.0112859,7,3451145
guided,1,1,0.0339379,0,14118439
guided,1,2,0.0190425,0,7057846
guided,1,2,0.0190425,1,7060593
guided,1,4,0.040425,0,2644514
